Frame, Timestamp, HMD_x, HMD_y, HMD_z, HMD_rot_x, HMD_rot_y, HMD_rot_z, HandR_x, HandR_y, HandR_z, HandR_rot_x, HandR_rot_y, HandR_rot_z, HandL_x, HandL_y, HandL_z, HandL_rot_x, HandL_rot_y, HandL_rot_z, Velocity_HandR_x, Velocity_HandR_y, Velocity_HandR_z, Velocity_HandL_x, Velocity_HandL_y, Velocity_HandL_z, WristAngleLeft, WristAngleRight, Distance
60, 0.8740, 4.5054, 1.2765, 9.6639, 326.7072, 216.5476, 359.2597, 0.2916, 0.8157, -0.0758, 21.7702, 95.0560, 340.0182, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0079, 0.0069, -0.0105, 0.0000, 0.0000, 0.0000, 0.0000, 166.5751, 0.0000
61, 0.8887, 4.5059, 1.2760, 9.6631, 327.0627, 215.9575, 359.4582, 0.2915, 0.8158, -0.0759, 21.8745, 95.1005, 340.0949, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0079, 0.0071, -0.0103, 0.0000, 0.0000, 0.0000, 0.0000, 166.4438, 0.0000
62, 0.9029, 4.5063, 1.2754, 9.6623, 327.4328, 215.3072, 359.5741, 0.2914, 0.8160, -0.0761, 22.0006, 95.0930, 340.1127, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0102, 0.0111, -0.0121, 0.0000, 0.0000, 0.0000, 0.0000, 166.2893, 0.0000
63, 0.9160, 4.5067, 1.2750, 9.6613, 327.8676, 214.7192, 359.7033, 0.2912, 0.8162, -0.0763, 22.1293, 95.0897, 340.1308, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0120, 0.0131, -0.0141, 0.0000, 0.0000, 0.0000, 0.0000, 166.1245, 0.0000
64, 0.9298, 4.5072, 1.2743, 9.6603, 328.3257, 214.1059, 359.8040, 0.2910, 0.8164, -0.0765, 22.2627, 95.0908, 340.1494, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0125, 0.0136, -0.0145, 0.0000, 0.0000, 0.0000, 0.0000, 165.9715, 0.0000
65, 0.9439, 4.5076, 1.2739, 9.6592, 328.8885, 213.4612, 359.9406, 0.2910, 0.8165, -0.0765, 22.7334, 95.0442, 340.2985, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0005, 0.0063, 0.0033, 0.0000, 0.0000, 0.0000, 0.0000, 165.4251, 0.0000
66, 0.9588, 4.5080, 1.2737, 9.6579, 329.2142, 212.8129, 0.1529, 0.2910, 0.8165, -0.0764, 23.1800, 95.0072, 340.4405, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0007, 0.0054, 0.0024, 0.0000, 0.0000, 0.0000, 0.0000, 164.9251, 0.0000
67, 0.9712, 4.5087, 1.2734, 9.6570, 329.4587, 212.1821, 0.3635, 0.2910, 0.8166, -0.0764, 23.5545, 94.9827, 340.5602, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0010, 0.0063, 0.0024, 0.0000, 0.0000, 0.0000, 0.0000, 164.5192, 0.0000
68, 0.9857, 4.5096, 1.2732, 9.6561, 329.6844, 211.5491, 0.6873, 0.2910, 0.8167, -0.0764, 23.6357, 95.2148, 340.8253, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0011, 0.0033, -0.0031, 0.0000, 0.0000, 0.0000, 0.0000, 164.3913, 0.0000
69, 0.9994, 4.5103, 1.2732, 9.6547, 329.9711, 210.8941, 1.0794, 0.2910, 0.8167, -0.0765, 23.7207, 95.3886, 341.0295, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0014, 0.0037, -0.0035, 0.0000, 0.0000, 0.0000, 0.0000, 164.2753, 1.6290
70, 1.0142, 4.5111, 1.2728, 9.6533, 330.1621, 210.1623, 1.3993, 0.2910, 0.8168, -0.0765, 23.8082, 95.5261, 341.1957, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0015, 0.0037, -0.0035, 0.0000, 0.0000, 0.0000, 0.0000, 164.1918, 1.6274
71, 1.0282, 4.5119, 1.2724, 9.6520, 330.5625, 209.3162, 1.7409, 0.2909, 0.8168, -0.0766, 23.8972, 95.6407, 341.3381, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0018, 0.0042, -0.0040, 0.0000, 0.0000, 0.0000, 0.0000, 164.0863, 1.6259
72, 1.0413, 4.5129, 1.2718, 9.6505, 331.0302, 208.4604, 2.1182, 0.2908, 0.8171, -0.0766, 23.7861, 95.7835, 341.5962, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0140, 0.0215, 0.0002, 0.0000, 0.0000, 0.0000, 0.0000, 164.1879, 1.6242
73, 1.0557, 4.5136, 1.2713, 9.6491, 331.5599, 207.5720, 2.4521, 0.2905, 0.8175, -0.0766, 23.7238, 95.9067, 341.8134, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0163, 0.0249, 0.0001, 0.0000, 0.0000, 0.0000, 0.0000, 164.2353, 1.6227
74, 1.0686, 4.5145, 1.2705, 9.6478, 332.2487, 206.6914, 2.7091, 0.2905, 0.8176, -0.0765, 23.5878, 96.1931, 342.1137, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0048, 0.0139, 0.0041, 0.0000, 0.0000, 0.0000, 0.0000, 164.3338, 1.6212
75, 1.0829, 4.5153, 1.2695, 9.6464, 332.9976, 205.7799, 2.9610, 0.2904, 0.8178, -0.0765, 23.4945, 96.4390, 342.3797, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0042, 0.0120, 0.0035, 0.0000, 0.0000, 0.0000, 0.0000, 164.3816, 1.6196
76, 1.0970, 4.5163, 1.2686, 9.6449, 333.8062, 204.8922, 3.2011, 0.2903, 0.8178, -0.0762, 23.3974, 96.6440, 342.4426, 0.0000, 0.0000, -0.0550, 0.0000, 0.0000, 0.0000, -0.0061, -0.0041, 0.0179, 0.0000, 0.0000, 0.0000, 0.0000, 164.4414, 1.6179
